"4610.0 Water Account, Australia, 2023-24",,,,,,,,,,,,,,,,
Released at 11:30 am (Canberra time) 11 December 2025,,,,,,,,,,,,,,,,
"Physical Water Supply and Use, by Water Type, Australia and state/territory (Megalitres), 2014-15 to 2023-24",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Geography Description,Geography Code,Industry,ANZSIC Division Code,Supply/Use,Product,Unit, 2014-15 , 2015-16 , 2016-17 , 2017-18 , 2018-19 , 2019-20 , 2020-21 , 2021-22 , 2022-23 , 2023-24 
Australia,0,"Agriculture, forestry and fishing (d) (e) ",A,Use,Return flows (b),ML,..,..,..,..,..,..,..,..,..,..
Australia,0,Mining,B,Use,Return flows (b),ML,..,..,..,..,..,..,..,..,..,..
Australia,0,Manufacturing,C,Use,Return flows (b),ML,..,..,..,..,..,..,..,..,..,..
Australia,0,Electricity and gas supply,D,Use,Return flows (b),ML,..,..,..,..,..,..,..,..,..,..
Australia,0,"Water supply, sewerage and drainage services",D,Use,Return flows (b),ML,..,..,..,..,..,..,..,..,..,..
Australia,0,"Waste collection, treatment and disposal services",D,Use,Return flows (b),ML,..,..,..,..,..,..,..,..,..,..
Australia,0,"Total Electricity, gas, water and waste services (f)",D,Use,Return flows (b),ML,..,..,..,..,..,..,..,..,..,..
Australia,0,Other industries,E -S,Use,Return flows (b),ML,..,..,..,..,..,..,..,..,..,..
Australia,0,Total industry,Total industry,Use,Return flows (b),ML,..,..,..,..,..,..,..,..,..,..
Australia,0,Households (g),HH,Use,Return flows (b),ML,..,..,..,..,..,..,..,..,..,..
Australia,0,Environment,Environment,Use,Return flows (b),ML,50929397.48,49528673.16,54582382.88,54042999.41,51770264.26,55000518.13,49521420.79,51771800.47,52884153.68,41223734.61
Australia,0,Total,Total,Use,Return flows (b),ML,50929397.48,49528673.16,54582382.88,54042999.41,51770264.26,55000518.13,49521420.79,51771800.47,52884153.68,41223734.61
New South Wales,1,"Agriculture, forestry and fishing (d) (e) ",A,Supply,Self-extracted,ML,..,..,..,..,..,..,..,..,..,..
New South Wales,1,Mining,B,Supply,Self-extracted,ML,..,..,..,..,..,..,..,..,..,..
New South Wales,1,Manufacturing,C,Supply,Self-extracted,ML,..,..,..,..,..,..,..,..,..,..
New South Wales,1,Electricity and gas supply,D,Supply,Self-extracted,ML,..,..,..,..,..,..,..,..,..,..
New South Wales,1,"Water supply, sewerage and drainage services",D,Supply,Self-extracted,ML,..,..,..,..,..,..,..,..,..,..
New South Wales,1,"Waste collection, treatment and disposal services",D,Supply,Self-extracted,ML,..,..,..,..,..,..,..,..,..,..
New South Wales,1,"Total Electricity, gas, water and waste services (f)",D,Supply,Self-extracted,ML,..,..,..,..,..,..,..,..,..,..
New South Wales,1,Other industries,E -S,Supply,Self-extracted,ML,..,..,..,..,..,..,..,..,..,..
New South Wales,1,Total industry,Total industry,Supply,Self-extracted,ML,..,..,..,..,..,..,..,..,..,..
New South Wales,1,Households (g),HH,Supply,Self-extracted,ML,..,..,..,..,..,..,..,..,..,..
New South Wales,1,Environment,Environment,Supply,Self-extracted,ML,15854157.22,15245154.56,17532389.92,16565188.48,12320633.32,9692725.746,14765790.16,14464697.31,15834657.91,14819459.27
New South Wales,1,Total,Total,Supply,Self-extracted,ML,15854157.22,15245154.56,17532389.92,16565188.48,12320633.32,9692725.746,14765790.16,14464697.31,15834657.91,14819459.27
New South Wales,1,"Agriculture, forestry and fishing (d) (e) ",A,Supply,Distributed,ML,-,-,-,-,-,-,-,-,-,-
