"4610.0 Water Account, Australia, 2021-22",,,,,,,,,,,,,,
Released at 11:30 am (Canberra time) 19 October 2023,,,,,,,,,,,,,,
"Monetary Water Supply and Use, by Industry and Water Type, Australia and state/territory (Purchasers' Prices), $ Million, 2014-15 to 2021-22 (a)",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Geography Description,Geography Code,Industry,ANZSIC Division Code,Supply/Use,Product,Unit, 2014-15 , 2015-16 , 2016-17 , 2017-18 , 2018-19 , 2019-20 , 2020-21 ,2021-22
Australia,0,Imports,Imports,Use,Sewerage and wastewater services ,$m, - , - , - , - , - , - , - , - 
Australia,0,Exports,Exports,Use,Sewerage and wastewater services ,$m,31.1351,33.5676,39.0244,40.9756,51.7073,46.8293,34.6341,26.3415
Australia,0,Taxes,Taxes,Use,Sewerage and wastewater services ,$m, - , - , - , - , - , - , - , - 
Australia,0,Subsidies,Subsidies,Use,Sewerage and wastewater services ,$m, - , - , - , - , - , - , - , - 
Australia,0,Total,Total,Use,Sewerage and wastewater services ,$m,"6,566.23","6,828.88","6,816.30","7,087.71","7,171.39","7,670.68","7,526.82","7,726.10"
Australia,0,"Agriculture, forestry and fishing",A,Use,Total expenditure,$m,653.3187,671.8555,637.8634,620.3811,579.1172,551.4875,590.8106,737.2145
Australia,0,Mining,B,Use,Total expenditure,$m,237.3338,237.2938,230.9368,247.2566,300.4606,316.6737,248.2638,218.8893
Australia,0,Manufacturing,C,Use,Total expenditure,$m,642.9226,726.6288,708.4561,663.9174,599.2205,582.9332,559.5544,592.6552
Australia,0,"Electricity, gas and waste services",D,Use,Total expenditure,$m,193.9548,143.5112,231.3448,182.0013,178.125,252.5302,299.3029,168.1555
Australia,0,"Water supply, sewerage and drainage services",D,Use,Total expenditure,$m,"2,003.47","2,004.90","2,095.31","2,151.25","2,418.42","2,619.71","2,521.26","2,538.57"
Australia,0,"    Total electricity, gas, water and waste services",D,Use,Total expenditure,$m,"2,197.42","2,148.41","2,326.66","2,333.25","2,596.54","2,872.24","2,820.56","2,706.73"
