"4610.0 Water Account, Australia, 2021-22",,,,,,,,,,,,,,
Released at 11:30 am (Canberra time) 19 October 2023,,,,,,,,,,,,,,
"Physical Water Supply and Use, by Water Type, Australia and state/territory (Megalitres), 2014-15 to 2021-22",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Geography Description,Geography Code,Industry,ANZSIC Division Code,Supply/Use,Product,Unit,   2014-15   ,   2015-16   ,   2016-17   ,   2017-18   ,   2018-19   ,   2019-20   ,   2020-21   ,  2021-22  
Australia,0,"Water supply, sewerage and drainage services",D,Use,Distributed,ML,"2,054,259.00","1,784,487.00", np ,"1,580,074.18","1,729,947.41","1,513,206.91","1,596,919.00","1,746,302.00"
Australia,0,"Waste collection, treatment and disposal services",D,Use,Distributed,ML,"4,145.41","4,103.73","4,137.29","4,217.22","4,640.61","4,694.64","4,107.98","4,026.72"
Australia,0,"Total Electricity, gas, water and waste services",D,Use,Distributed,ML,"2,194,744.41","1,906,407.73","1,687,025.94","1,734,419.37","1,865,307.03","1,706,860.55","1,859,371.98","1,902,093.72"
Australia,0,Other industries,E -S,Use,Distributed,ML,"520,597.15","523,442.35","553,798.13","597,103.67","586,395.14","561,754.19","570,928.18","589,834.29"
Australia,0,Total industry,Total industry,Use,Distributed,ML,"10,497,283.11","9,108,469.36","10,118,248.49","10,816,978.27","8,591,128.88","6,992,176.53","9,601,769.59","10,157,738.85"
Australia,0,Households (e),HH,Use,Distributed,ML,"1,690,456.27","1,747,256.38","1,722,620.67","1,797,901.97","1,811,468.85","1,810,639.99","1,803,241.44","1,772,525.89"
Australia,0,Environment,Environment,Use,Distributed,ML, - , - , - , - , - , - , - , - 
Australia,0,Total,Total,Use,Distributed,ML,"12,187,739.38","10,855,725.74","11,840,869.16","12,614,880.25","10,402,597.73","8,802,816.52","11,405,011.03","11,930,264.74"
Australia,0,"Agriculture, forestry and fishing (d)",A,Use,Wastewater (c),ML, na , na , na , na , na , na , na , na 
Australia,0,Mining,B,Use,Wastewater (c),ML, na , na , na , na , na , na , na , na 
Australia,0,Manufacturing,C,Use,Wastewater (c),ML, na , na , na , na , na , na , na , na 
Australia,0,Electricity and gas supply,D,Use,Wastewater (c),ML, na , na , na , na , na , na , na , na 
Australia,0,"Water supply, sewerage and drainage services",D,Use,Wastewater (c),ML,"2,051,195.00","2,013,917.00","2,092,724.10","1,951,553.60","1,993,495.00","2,066,118.00","2,167,839.00","2,420,314.00"
Australia,0,"Waste collection, treatment and disposal services",D,Use,Wastewater (c),ML, na , na , na , na , na , na , na , na 
Australia,0,"Total Electricity, gas, water and waste services",D,Use,Wastewater (c),ML,"2,051,195.00","2,013,917.00","2,092,724.10","1,951,553.60","1,993,495.00","2,066,118.00","2,167,839.00","2,420,314.00"
Australia,0,Other industries,E -S,Use,Wastewater (c),ML, na , na , na , na , na , na , na , na 
Australia,0,Total industry,Total industry,Use,Wastewater (c),ML,"2,051,195.00","2,013,917.00","2,092,724.10","1,951,553.60","1,993,495.00","2,066,118.00","2,167,839.00","2,420,314.00"
Australia,0,Households (e),HH,Use,Wastewater (c),ML, na , na , na , na , na , na , na , na 
Australia,0,Environment,Environment,Use,Wastewater (c),ML, na , na , na , na , na , na , na , na 
Australia,0,Total,Total,Use,Wastewater (c),ML,"2,051,195.00","2,013,917.00","2,092,724.10","1,951,553.60","1,993,495.00","2,066,118.00","2,167,839.00","2,420,314.00"
Australia,0,"Agriculture, forestry and fishing (d)",A,Use,Reuse,ML, np , np , np ,"110,959.53","103,285.00","91,983.00","83,400.00","89,982.52"
Australia,0,Mining,B,Use,Reuse,ML,"3,175.00","4,006.00","3,586.87","2,479.00","3,842.00","2,819.00","1,852.00",765
Australia,0,Manufacturing,C,Use,Reuse,ML, np , np , np ,"18,807.00","22,077.00","23,174.00","25,288.00","25,621.00"
Australia,0,Electricity and gas supply,D,Use,Reuse,ML,"2,410.00","2,577.00", np , np ,"3,536.00","2,860.00","4,438.00","4,665.00"
Australia,0,"Water supply, sewerage and drainage services",D,Use,Reuse,ML, np , np ,"105,206.13","96,557.59","92,109.00","82,302.00","85,228.00", np 
Australia,0,"Waste collection, treatment and disposal services",D,Use,Reuse,ML, np , np , np , np ,323.9281,374.7551,237.4644, np 
Australia,0,"Total Electricity, gas, water and waste services",D,Use,Reuse,ML,"103,404.77","90,486.72","108,282.67","99,641.72","95,968.93","85,536.76","89,903.46","111,676.77"
Australia,0,Other industries,E -S,Use,Reuse,ML, np ,"88,302.31", np ,"82,886.57","96,387.08","99,212.79","92,083.08","86,492.98"
Australia,0,Total industry,Total industry,Use,Reuse,ML,"323,615.90","329,893.03","309,804.28","314,773.81","321,560.01","302,725.54","292,526.55","314,538.27"
Australia,0,Households (e),HH,Use,Reuse,ML,"4,650.00","5,375.00","3,985.04","5,088.00","5,896.00","6,039.00","5,858.00","6,346.00"
Australia,0,Environment,Environment,Use,Reuse,ML, - , - , - , - , - , - , - , - 
Australia,0,Total,Total,Use,Reuse,ML,"328,265.90","335,268.03","313,789.32","319,861.81","327,456.01","308,764.54","298,384.55","320,884.27"
Australia,0,"Agriculture, forestry and fishing (d)",A,Use,Return flows (b),ML, - , - , - , - , - , - , - , - 
Australia,0,Mining,B,Use,Return flows (b),ML, - , - , - , - , - , - , - , - 
Australia,0,Manufacturing,C,Use,Return flows (b),ML, - , - , - , - , - , - , - , - 
Australia,0,Electricity and gas supply,D,Use,Return flows (b),ML, - , - , - , - , - , - , - , - 
Australia,0,"Water supply, sewerage and drainage services",D,Use,Return flows (b),ML, - , - , - , - , - , - , - , - 
Australia,0,"Waste collection, treatment and disposal services",D,Use,Return flows (b),ML, - , - , - , - , - , - , - , - 
Australia,0,"Total Electricity, gas, water and waste services",D,Use,Return flows (b),ML, - , - , - , - , - , - , - , - 
Australia,0,Other industries,E -S,Use,Return flows (b),ML, - , - , - , - , - , - , - , - 
Australia,0,Total industry,Total industry,Use,Return flows (b),ML, - , - , - , - , - , - , - , - 
Australia,0,Households (e),HH,Use,Return flows (b),ML, - , - , - , - , - , - , - , - 
Australia,0,Environment,Environment,Use,Return flows (b),ML,"52,301,069.60","50,855,464.73","56,029,771.96","55,400,302.29","53,117,963.35","56,400,418.48","50,997,645.35","52,755,510.63"
Australia,0,Total,Total,Use,Return flows (b),ML,"52,301,069.60","50,855,464.73","56,029,771.96","55,400,302.29","53,117,963.35","56,400,418.48","50,997,645.35","52,755,510.63"
