"4610.0 Water Account, Australia, 2023-24",,,,,,,,,,,,,,,,
Released at 11:30 am (Canberra time) 11 December 2025,,,,,,,,,,,,,,,,
"Monetary Water Supply and Use, by Industry and Water Type, Australia and state/territory (Purchasers' Prices), $ Million, 2014-15 to 2023-24 (a)",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Geography Description,Geography Code,Industry,ANZSIC Division Code,Supply/Use,Product,Unit, 2014-15 , 2015-16 , 2016-17 , 2017-18 , 2018-19 , 2019-20 , 2020-21 , 2021-22 , 2022-23 , 2023-24 
Australia,0,Mining,B,Use,Total water supplied,$m,210.956,209.1098,202.5737,218.0641,269.9311,285.3654,218.4742,237.6206,210.9647,296.7395
Australia,0,Manufacturing,C,Use,Total water supplied,$m,440.9947,529.7325,504.6993,454.4757,391.3721,378.0875,355.6396,382.3864,344.4404,416.0621
Australia,0,"Electricity, gas and waste services",D,Use,Total water supplied,$m,170.1631,118.68,198.2804,147.6739,143.6188,218.6947,265.9725,135.0906,176.0063,163.7984
Australia,0,"Water supply, sewerage and drainage services",D,Use,Total water supplied,$m,2003.4657,2004.9019,2095.3123,2151.2532,2418.419,2619.71,2521.255,2537.777,2609.4231,2766.2772
Australia,0,"    Total electricity, gas, water and waste services",D,Use,Total water supplied,$m,2173.6288,2123.5819,2293.5927,2298.927,2562.0378,2838.4047,2787.2275,2672.8676,2785.4294,2930.0757
Australia,0,Other industries,E -S,Use,Total water supplied,$m,1029.9552,1270.6239,1263.8808,1642.5481,1966.9315,1635.9461,1801.0981,1895.691,2061.2463,2329.454
Australia,0,Total Industry,Total industry,Use,Total water supplied,$m,4506.6956,4803.5581,4900.5657,5232.189,5766.89,5686.8479,5751.1173,5919.1193,6046.3432,6697.8327
Australia,0,Households,HH,Use,Total water supplied,$m,5905.9783,6055.6229,5867.4546,6081.8937,6236.9168,6397.9892,6171.7202,6101.0529,6233.7224,6910.8632
Australia,0,Social benefits paid in kind,Social benefits paid in kind,Use,Total water supplied,$m,582.9761,556.8934,474.8631,415.6338,421.7748,433.2894,545.4456,695.5316,732.3064,931.8864
Australia,0,Imports,Imports,Use,Total water supplied,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Exports,Exports,Use,Total water supplied,$m,32.8649,35.4324,40.9756,43.0244,54.2927,49.1707,36.3659,27.6585,25.6098,35.8537
Australia,0,Taxes (b),Taxes,Use,Total water supplied,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Subsidies (c),Subsidies,Use,Total water supplied,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Total,Total,Use,Total water supplied,$m,11028.5148,11451.5069,11283.859,11772.7409,12479.8743,12567.2972,12504.649,12743.3624,13037.9817,14576.436
Australia,0,"Agriculture, forestry and fishing",A,Use,Sewerage and wastewater services ,$m,1.734,1.6143,1.7783,1.677,1.5993,1.4672,1.7474,2.1748,2.1473,2.2752
Australia,0,Mining,B,Use,Sewerage and wastewater services ,$m,26.3732,28.309,28.345,29.1581,30.3847,31.1431,29.6309,29.1982,28.1138,27.8805
